               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10953,           0.0096252,            0.075305,           0.0046867,             0.47479,            0.010508,           0.0015077,            0.070823,           0.0074659,             0.05011,              0.0937,              0.0007,              0.0007
                   1,            0.092502,            0.012325,            0.068646,            0.007028,             0.81443,            0.025422,           0.0040381,            0.053119,              0.0088,            0.048012,            0.086485,           0.0014851,           0.0014851
                   2,            0.075651,            0.012885,            0.061451,           0.0074457,                   1,            0.028743,            0.006623,             0.04695,            0.009281,            0.043578,            0.079254,           0.0022545,           0.0022545
                   3,            0.068815,            0.013767,            0.053688,           0.0047057,                   1,            0.030693,            0.010871,            0.040269,           0.0096205,            0.037174,            0.072008,           0.0030079,           0.0030079
                   4,            0.064692,             0.01451,            0.045507,           0.0035408,                   1,            0.083654,            0.029152,            0.039133,           0.0093173,            0.030229,            0.064746,           0.0037456,           0.0037456
                   5,            0.063871,            0.012858,            0.040718,            0.023697,             0.95588,             0.18844,            0.040372,            0.040395,           0.0083437,            0.025541,            0.057467,           0.0044673,           0.0044673
                   6,            0.061856,            0.013072,            0.037651,            0.057749,             0.71779,            0.066268,            0.028673,            0.045753,           0.0073956,            0.025796,            0.050173,           0.0051733,           0.0051733
                   7,            0.060753,            0.012695,            0.034471,             0.11583,             0.77451,             0.16121,            0.077931,            0.042142,           0.0073111,             0.02321,            0.042863,           0.0058634,           0.0058634
                   8,            0.064187,            0.012692,            0.035473,             0.17158,             0.28291,             0.18308,            0.091564,            0.038233,           0.0072502,            0.024239,            0.035538,           0.0065377,           0.0065377
                   9,            0.061746,            0.012837,            0.033421,              0.2199,             0.46289,             0.20566,             0.10561,            0.046794,           0.0061799,            0.021948,            0.028196,           0.0071961,           0.0071961
                  10,             0.06565,            0.011509,            0.031934,             0.11779,             0.91387,             0.15778,             0.03663,            0.047266,           0.0061245,            0.019744,            0.020839,           0.0078387,           0.0078387
                  11,            0.061976,            0.010609,            0.032832,             0.11813,             0.74344,             0.20466,            0.086242,            0.047464,           0.0061953,             0.01963,            0.013465,           0.0084655,           0.0084655
                  12,            0.061218,            0.010255,            0.029122,             0.04357,             0.17647,            0.095832,            0.030816,            0.051126,           0.0057716,            0.018247,            0.008812,            0.008812,            0.008812
                  13,            0.060574,            0.010886,            0.029712,             0.06594,             0.58053,             0.15724,            0.062905,            0.038586,           0.0065187,            0.018291,            0.008812,            0.008812,            0.008812
                  14,            0.054206,            0.010656,            0.031296,             0.12458,              0.7619,             0.18213,            0.060186,            0.038261,           0.0061392,            0.017529,            0.008713,            0.008713,            0.008713
                  15,            0.053599,            0.012257,            0.029917,            0.099114,             0.54762,             0.22945,            0.069308,            0.035082,           0.0062218,            0.016855,            0.008614,            0.008614,            0.008614
                  16,            0.050348,            0.012254,            0.028496,             0.15913,             0.74789,             0.24163,            0.099726,            0.038818,           0.0057964,            0.016574,            0.008515,            0.008515,            0.008515
                  17,            0.048227,            0.011305,            0.028751,             0.11129,             0.78922,             0.13166,            0.041373,            0.043414,           0.0053294,            0.016601,            0.008416,            0.008416,            0.008416
                  18,            0.050315,            0.012866,             0.02837,             0.17148,             0.98529,             0.43246,             0.28461,            0.035688,           0.0054459,            0.015059,            0.008317,            0.008317,            0.008317
                  19,            0.047809,            0.011481,            0.026323,             0.20902,                   1,             0.68645,             0.37697,            0.028509,           0.0057092,            0.014466,            0.008218,            0.008218,            0.008218
                  20,            0.046229,            0.011888,            0.025102,             0.49621,             0.97619,              0.8199,             0.42426,            0.029037,           0.0056492,            0.013063,            0.008119,            0.008119,            0.008119
                  21,            0.042025,            0.010546,            0.023788,             0.33807,             0.97059,             0.80206,             0.53405,             0.02927,           0.0053747,            0.011699,             0.00802,             0.00802,             0.00802
                  22,            0.042587,            0.010562,            0.026102,             0.90446,             0.72162,             0.88087,             0.55502,            0.024551,           0.0052915,           0.0092852,            0.007921,            0.007921,            0.007921
                  23,            0.040025,             0.01119,             0.02268,              0.4396,             0.77079,             0.64516,             0.24676,            0.030688,           0.0048556,            0.013585,            0.007822,            0.007822,            0.007822
                  24,            0.043074,            0.010092,             0.01652,             0.58873,              0.7664,             0.79834,             0.44184,            0.028297,           0.0049317,            0.007813,            0.007723,            0.007723,            0.007723
                  25,            0.042731,             0.01092,             0.02028,             0.42229,             0.73179,             0.63903,             0.26478,            0.031279,           0.0047357,           0.0083347,            0.007624,            0.007624,            0.007624
                  26,            0.043204,           0.0086138,            0.017988,             0.72855,             0.65582,             0.80957,              0.6142,            0.027964,           0.0048894,            0.009735,            0.007525,            0.007525,            0.007525
                  27,            0.041388,           0.0096425,            0.016914,             0.82402,             0.69081,             0.75559,             0.53277,            0.030001,           0.0048831,           0.0097419,            0.007426,            0.007426,            0.007426
                  28,            0.041431,           0.0090487,             0.01655,             0.77886,             0.73179,             0.73692,             0.48101,            0.030905,           0.0045328,           0.0078829,            0.007327,            0.007327,            0.007327
                  29,            0.039894,            0.010298,            0.014533,             0.82313,              0.7612,             0.85901,             0.59839,            0.021974,           0.0046404,           0.0060757,            0.007228,            0.007228,            0.007228
                  30,            0.039584,           0.0096605,            0.014584,             0.70832,              0.7598,             0.83744,             0.49847,            0.027962,           0.0042664,           0.0054027,            0.007129,            0.007129,            0.007129
                  31,            0.036348,            0.010044,            0.016516,             0.89361,              0.7556,             0.85738,             0.51719,            0.029008,           0.0042371,           0.0050539,             0.00703,             0.00703,             0.00703
